"eigenvalue";"percentage of variance";"cumulative percentage of variance"
"comp 1";22.8284262576509;73.6400847020998;73.6400847020998
"comp 2";2.73936463040965;8.83666009809565;82.4767448001955
"comp 3";1.47119544509598;4.74579175837413;87.2225365585696
"comp 4";1.28920441539337;4.15872392062377;91.3812604791934
"comp 5";0.610392384388014;1.96900769157424;93.3502681707676
"comp 6";0.553710476447;1.78616282724839;95.136430998016
"comp 7";0.48210623236259;1.55518139471803;96.691612392734
"comp 8";0.334938032107953;1.08044526486436;97.7720576575984
"comp 9";0.205024471809462;0.661369263901492;98.4334269214999
"comp 10";0.187551624630156;0.605005240742439;99.0384321622423
"comp 11";0.0901136019821928;0.290689038652235;99.3291212008946
"comp 12";0.0613702282284628;0.197968478156331;99.5270896790509
"comp 13";0.0504141403109974;0.162626259067733;99.6897159381186
"comp 14";0.0304701612972925;0.0982908428944918;99.7880067810131
"comp 15";0.0224834585247407;0.0725272855636796;99.8605340665768
"comp 16";0.0165598319357304;0.0534188126959046;99.9139528792727
"comp 17";0.00852744714490601;0.0275078940158258;99.9414607732885
"comp 18";0.00587175936005996;0.0189411592259999;99.9604019325145
"comp 19";0.00378319769896379;0.0122038635450445;99.9726057960596
"comp 20";0.00307514735215069;0.00991983016822802;99.9825256262278
"comp 21";0.00144821760812025;0.00467166970361371;99.9871972959314
"comp 22";0.00133063491570098;0.00429237069580963;99.9914896666272
"comp 23";0.00105944592140912;0.00341756748841651;99.9949072341156
"comp 24";0.000721754061197853;0.00232823890708985;99.9972354730227
"comp 25";0.000338961427507157;0.00109342395970051;99.9983288969824
"comp 26";0.000283478315865881;0.00091444618021252;99.9992433431626
"comp 27";0.000136613314579467;0.000440688111546667;99.9996840312742
"comp 28";5.34554170926042e-05;0.000172436829330981;99.9998564681035
"comp 29";3.10640244012076e-05;0.000100206530326476;99.9999566746339
"comp 30";1.34308635052171e-05;4.33253661458616e-05;100
"comp 31";2.1419986880013e-31;6.90967318710095e-31;100
